Company Name,Primary NAICS Description,D-U-N-S@ Number,Web Address (URL),Industry,tier,concrete restoration,epoxy coatings,floor coatings,floor demo,floor demolition,floor maintenance,flooring maintenance,floor restoration,flooring restoration,surface preparation,concrete AND flooring,concrete AND surfacing,concrete AND restoration,concrete AND coating,concrete AND construction,concrete AND polishing,concrete AND painting,concrete AND demolition,concrete AND epoxy,flooring,surfacing,coating,construction,polishing,painting,demolition,epoxy
"5 ALARM FIRE & SAFETY EQUIPMENT, LLC",Service Establishment Equipment and Supplies Merchant Wholesalers,84-793-0120,WWW.5ALARM.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVE MILE CONSULTING, INC.",Other Management Consulting Services,78-165-0697,WWW.5MILEDEVELOPMENT.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NAMMOURS, INC.",Home Furnishing Merchant Wholesalers,06-062-6734,WWW.5NFLOORSUPPLY.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVE STAR ROOFING, LLC",Roofing Contractors,15-808-5790,WWW.5STARROOFING.NET,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-STAR STORAGE SOLUTIONS INC.,Furniture Merchant Wholesalers,00-385-0787,WWW.5-STARSTORAGESOLUTIONS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5X TECHNOLOGY, LLC",Other Management Consulting Services,10-192-2008,WWW.5XTECHNOLOGY.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIRST SERVICE INDUSTRIES, INC.",Residential Remodelers,14-478-7058,WWW.637-BATH.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C SEVEN COMPANY,Furniture Merchant Wholesalers,79-314-1029,WWW.7CUSA.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SEVEN DOLLAR BEAUTY SUPPLY, INC.",Service Establishment Equipment and Supplies Merchant Wholesalers,80-347-3743,WWW.7-DOLLAR.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENIUS INDUSTRIES INC,All Other Business Support Services,09-565-9475,WWW.7GENIUS.NET,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A-1 ALL AMERICAN ROOFING WLA, INC.",Roofing Contractors,95-705-5064,WWW.800ROOFUSA.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8020 CONSULTING, LLC",Other Management Consulting Services,06-535-4582,WWW.8020CONSULTING.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"828 INTERNATIONAL TRADING COMPANY, INC.",Home Furnishing Merchant Wholesalers,96-101-6904,WWW.828RUGS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8760 SERVICE GROUP, LLC","All Other Professional, Scientific, and Technical Services",06-757-1541,WWW.8760SG.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88 BRAND PARTNERS INC,Other Management Consulting Services,04-903-9767,WWW.88BRANDPARTNERS.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8 PLUS, INC.",Residential Remodelers,55-678-4929,WWW.8PLUSINC.COM,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
